working dir: /data/zjl/192-torch2/VideoX-master/X-CLIP/Output/
Train: [0/300][4050/9358]	eta 0:27:19 lr 0.000000173	time 0.3197 (0.3090)	tot_loss 0.4015 (0.4885)	mem 6729MB
Train: [0/300][4100/9358]	eta 0:27:04 lr 0.000000175	time 0.3212 (0.3089)	tot_loss 0.5361 (0.4879)	mem 6729MB
Train: [0/300][4150/9358]	eta 0:26:48 lr 0.000000177	time 0.2867 (0.3089)	tot_loss 0.5075 (0.4872)	mem 6729MB
Train: [0/300][4200/9358]	eta 0:26:34 lr 0.000000179	time 0.2758 (0.3090)	tot_loss 0.6381 (0.4866)	mem 6729MB
Train: [0/300][4250/9358]	eta 0:26:19 lr 0.000000182	time 0.3424 (0.3093)	tot_loss 0.3185 (0.4860)	mem 6729MB
Train: [0/300][4300/9358]	eta 0:26:07 lr 0.000000184	time 0.3084 (0.3099)	tot_loss 0.2190 (0.4848)	mem 6729MB
Train: [0/300][4350/9358]	eta 0:25:52 lr 0.000000186	time 0.2668 (0.3100)	tot_loss 0.5839 (0.4845)	mem 6729MB
Train: [0/300][4400/9358]	eta 0:25:36 lr 0.000000188	time 0.2791 (0.3099)	tot_loss 0.3904 (0.4842)	mem 6729MB
Train: [0/300][4450/9358]	eta 0:25:22 lr 0.000000190	time 0.3341 (0.3102)	tot_loss 0.3941 (0.4835)	mem 6729MB
Train: [0/300][4500/9358]	eta 0:25:06 lr 0.000000192	time 0.3173 (0.3102)	tot_loss 0.5446 (0.4829)	mem 6729MB
Train: [0/300][4550/9358]	eta 0:24:51 lr 0.000000194	time 0.2730 (0.3102)	tot_loss 0.4755 (0.4823)	mem 6729MB
Train: [0/300][4600/9358]	eta 0:24:34 lr 0.000000197	time 0.2491 (0.3100)	tot_loss 0.4697 (0.4814)	mem 6729MB
Train: [0/300][4650/9358]	eta 0:24:17 lr 0.000000199	time 0.2743 (0.3097)	tot_loss 0.5913 (0.4808)	mem 6729MB
Train: [0/300][4700/9358]	eta 0:24:02 lr 0.000000201	time 0.2638 (0.3096)	tot_loss 0.4176 (0.4808)	mem 6729MB
Train: [0/300][4750/9358]	eta 0:23:47 lr 0.000000203	time 0.2847 (0.3097)	tot_loss 0.3985 (0.4803)	mem 6729MB
Train: [0/300][4800/9358]	eta 0:23:30 lr 0.000000205	time 0.2573 (0.3096)	tot_loss 0.6946 (0.4797)	mem 6729MB
Train: [0/300][4850/9358]	eta 0:23:14 lr 0.000000207	time 0.2520 (0.3094)	tot_loss 0.4106 (0.4793)	mem 6729MB
Train: [0/300][4900/9358]	eta 0:22:58 lr 0.000000209	time 0.2739 (0.3092)	tot_loss 0.5151 (0.4786)	mem 6729MB
Train: [0/300][4950/9358]	eta 0:22:43 lr 0.000000211	time 0.3249 (0.3093)	tot_loss 0.4618 (0.4777)	mem 6729MB
Train: [0/300][5000/9358]	eta 0:22:27 lr 0.000000214	time 0.2915 (0.3093)	tot_loss 0.4116 (0.4772)	mem 6729MB
Train: [0/300][5050/9358]	eta 0:22:11 lr 0.000000216	time 0.2969 (0.3091)	tot_loss 0.4416 (0.4766)	mem 6729MB
Train: [0/300][5100/9358]	eta 0:21:55 lr 0.000000218	time 0.2897 (0.3091)	tot_loss 0.3314 (0.4759)	mem 6729MB
Train: [0/300][5150/9358]	eta 0:21:40 lr 0.000000220	time 0.3001 (0.3091)	tot_loss 0.1638 (0.4749)	mem 6729MB
Train: [0/300][5200/9358]	eta 0:21:25 lr 0.000000222	time 0.3177 (0.3091)	tot_loss 0.6068 (0.4742)	mem 6729MB
Train: [0/300][5250/9358]	eta 0:21:10 lr 0.000000224	time 0.2803 (0.3093)	tot_loss 0.1701 (0.4733)	mem 6729MB
Train: [0/300][5300/9358]	eta 0:20:56 lr 0.000000227	time 0.3145 (0.3097)	tot_loss 0.1522 (0.4726)	mem 6729MB
Train: [0/300][5350/9358]	eta 0:20:41 lr 0.000000229	time 0.2728 (0.3097)	tot_loss 0.3175 (0.4716)	mem 6729MB
Train: [0/300][5400/9358]	eta 0:20:26 lr 0.000000231	time 0.2826 (0.3098)	tot_loss 0.3946 (0.4707)	mem 6729MB
Train: [0/300][5450/9358]	eta 0:20:10 lr 0.000000233	time 0.2733 (0.3097)	tot_loss 0.4734 (0.4703)	mem 6729MB
